Name,Role,YearStart,YearEnd,url
Sir Arthur Eddington,President,1943,1945,
Prof FJM Stratton,President,1945,1947,
Prof RO Redman,President,1947,1972,
Prof Donald Lynden-Bell,President,1972,1995,
Prof Richard Ellis,President,1995,,
Prof Douglas Gough,President,,2006,
Prof Mike Irwin,President,2006,2021,
Prof Paul Hewitt,President,2021,2024,
Dr R Stoneley,Senior Treasurer,1943,1961,
Dr David Dewhirst,Senior Treasurer,1961,1996,
Dr Roderick Willstrop,Senior Treasurer,1996,2004,
Jonathan Shanklin,Senior Treasurer,2005,Present,https://www.bas.ac.uk/profile/jdsh/
Prof Hiranya Peiris,President,2024,Present,https://www.ast.cam.ac.uk/people/hiranya.peiris
